,Hotel_Name,Reviewer_Nationality,Review_Date,Reviewer_Score
139225,Holiday Inn London Camden Lock, United Kingdom ,5/8/2017,8.8
230455,Radisson Blu Edwardian Vanderbilt, Germany ,6/22/2017,7.9
510383,The Student Hotel Amsterdam City, Ireland ,9/4/2016,10.0
100429,Banke H tel, China ,10/1/2015,10.0
216550,Dorsett Shepherds Bush, United Kingdom ,3/27/2017,5.8
266072,Sir Albert Hotel, United Kingdom ,8/4/2016,8.8
178539,Little Palace Hotel, Switzerland ,3/8/2016,8.8
229500,Best Western Hotel Montmartre Sacr Coeur, France ,1/4/2017,10.0
1713,Apex Temple Court Hotel, Germany ,4/11/2016,9.6
211453,Hilton London Angel Islington, United Kingdom ,7/2/2017,10.0
427193,NH Amsterdam Caransa, Australia ,7/7/2016,8.8
75982,Park Plaza London Riverbank, United Kingdom ,8/2/2016,9.6
327266,Mercure Secession Wien, Ireland ,9/18/2016,7.9
147048,The Marble Arch London, Kuwait ,5/29/2016,7.9
28575,Le Parisis Paris Tour Eiffel, Australia ,5/12/2017,7.1
180464,Suites H tel Helzear Montparnasse, United States of America ,7/12/2017,6.7
418842,Grand Hotel Amr th Amsterdam, Israel ,2/9/2016,10.0
371177,Hampshire Hotel The Manor Amsterdam, United Kingdom ,7/6/2017,10.0
112556,Hilton London Metropole, Malaysia ,7/10/2016,7.9
246893,Ten Manchester Street Hotel, Serbia ,12/6/2015,9.0
71656,Bulgari Hotel London, United States of America ,1/7/2016,9.6
354401,Austria Trend Hotel Europa Wien, Hungary ,12/21/2015,9.6
504302,Park Plaza Westminster Bridge London, United Kingdom ,4/18/2017,10.0
43726,Maxim Op ra, Belgium ,10/18/2015,8.3
343551,Arion Cityhotel Vienna und Appartements, Bulgaria ,8/14/2015,8.3
448739,Hotel Domizil, Austria ,8/21/2016,6.7
456228,WestCord Art Hotel Amsterdam 4 stars, Serbia ,6/13/2017,8.3
266068,Sir Albert Hotel, Canada ,8/9/2016,8.3
484040,Hotel Berna, United States of America ,7/24/2017,8.3
195975,The Premier Notting Hill, United Kingdom ,9/7/2015,9.2
190749,Millennium Hotel London Mayfair, United Kingdom ,12/17/2015,8.8
512772,Holiday Inn London Kensington, Australia ,5/24/2017,7.1
208663,The Montcalm At Brewery London City, United Kingdom ,5/7/2017,10.0
431304,Hotel Roemer Amsterdam, Netherlands ,12/8/2016,10.0
233151,Gainsborough Hotel, United Kingdom ,6/25/2017,5.8
327507,Hotel Well and Come, Brazil ,1/3/2016,8.8
506820,Park Plaza Westminster Bridge London, United Kingdom ,10/17/2016,9.6
35505,H tel de la Bourdonnais, United States of America ,9/2/2016,9.2
465974,Amba Hotel Charing Cross, United Kingdom ,11/7/2016,9.6
119091,Grange Beauchamp Hotel, Israel ,4/18/2017,8.8
409802,Hotel Michelangelo, Switzerland ,9/4/2016,9.6
181819,citizenM Tower of London, New Zealand ,1/17/2017,10.0
335504,Rainers Hotel Vienna, India ,8/11/2016,9.2
482188,UNA Maison Milano, Saudi Arabia ,10/28/2015,9.2
90141,Hotel Indigo Paris Opera, United Kingdom ,12/20/2015,9.6
63935,H tel Hor, Trinidad and Tobago ,8/18/2015,10.0
487629,Uptown Palace, Sweden ,3/14/2017,6.3
101830,Mondrian London, United Kingdom ,2/16/2016,8.8
380049,Golden Tulip Amsterdam West, Italy ,9/15/2016,7.9
413937,Hotel du Louvre in the Unbound Collection by Hyatt, Denmark ,9/27/2015,6.3
503418,Crowne Plaza London Ealing, Kuwait ,3/18/2016,7.9
42641,Hilton London Hyde Park, Australia ,1/19/2016,7.5
244545,Shaftesbury Metropolis London Hyde Park, Singapore ,7/9/2017,5.4
271295,Hilton Amsterdam, Australia ,1/3/2017,9.2
309895,Jaz Amsterdam, Belgium ,6/16/2017,8.3
113729,Hilton London Metropole, Saudi Arabia ,8/30/2016,7.1
185275,Elys es R gencia, China ,8/4/2016,9.2
107627,Montcalm Royal London House City of London, United Kingdom ,1/16/2017,10.0
4041,The Principal London, United Kingdom ,2/23/2016,7.5
349114,Bilderberg Hotel Jan Luyken, Singapore ,5/3/2016,8.3
433992,Hotel Regina, Ireland ,6/25/2016,9.2
230446,Radisson Blu Edwardian Vanderbilt, Sweden ,7/8/2017,8.3
122177,The Nadler Kensington, Netherlands ,9/20/2016,6.3
426566,Catalonia Born, Myanmar ,7/28/2017,9.6
129869,The Tophams Hotel, United Kingdom ,9/11/2015,7.1
453220,Best Western Plus Hotel Blue Square, Germany ,11/25/2015,7.1
100109,Mercure Paris Centre Tour Eiffel, Indonesia ,8/21/2016,5.4
240145,Hotel Ares Eiffel, Canada ,6/9/2016,7.5
320814,St Pancras Renaissance Hotel London, United Kingdom ,3/27/2017,9.6
125641,DoubleTree by Hilton London Docklands Riverside, United Kingdom ,10/20/2015,9.2
262165,Hotel d Orsay Esprit de France, China ,8/18/2016,9.6
119592,Club Quarters Hotel St Paul s, Switzerland ,9/20/2016,10.0
73556,Malmaison London, Taiwan ,7/16/2017,6.3
464299,Best Western Hotel Pension Arenberg Wien Zentrum, United States of America ,1/8/2016,9.2
422632,citizenM Amsterdam, Denmark ,11/24/2015,9.2
249270,Club Quarters Hotel Trafalgar Square, United Kingdom ,2/15/2016,7.5
404341,Hotel Principe Di Savoia, Canada ,3/23/2016,8.8
47793,Saint Georges Hotel, Kuwait ,8/2/2017,5.8
440650,Zenit Barcelona, United Kingdom ,5/24/2017,6.7
315177,Melia Vienna, Croatia ,7/5/2017,8.8
401502,K K Hotel Picasso, United States of America ,10/1/2016,10.0
20094,The Ampersand Hotel, United Kingdom ,7/10/2017,9.5
102321,NH London Kensington, New Zealand ,6/21/2017,8.3
437465,Crowne Plaza London Docklands, United Kingdom ,12/1/2015,9.6
476752,Four Points Sheraton Milan Center, Switzerland ,5/18/2016,10.0
340891,Ambassade Hotel, United States of America ,6/2/2016,9.6
110092,London Hilton on Park Lane, United Kingdom ,1/23/2016,10.0
121386,H tel Beauchamps, United Arab Emirates ,9/3/2016,5.0
188309,London City Suites, Hungary ,6/5/2017,5.0
462319,NH Amsterdam Centre, United States of America ,4/24/2016,10.0
84453,Royal Garden Hotel, United Kingdom ,6/10/2016,7.5
196663,H tel Th r se, Japan ,4/11/2017,9.6
300641,Grange City Hotel, United Kingdom ,5/1/2016,9.6
242195,Les Jardins Du Marais, Ireland ,6/5/2017,7.9
197441,Washington Mayfair Hotel, Netherlands ,12/28/2015,8.8
285674,Catalonia Plaza Catalunya, United Kingdom ,3/13/2016,8.3
417306,London Marriott Maida Vale, United States of America ,3/9/2016,8.8
303741,Hotel Lloyd, United Kingdom ,9/5/2015,6.3
183367,St James Court A Taj Hotel London, Brazil ,10/21/2016,7.9
504985,Park Plaza Westminster Bridge London, Switzerland ,8/22/2016,8.8
91569,Park Lane Mews Hotel, United States of America ,6/9/2017,5.8
84816,Royal Garden Hotel, Russia ,11/18/2016,10.0
154570,Hotel Indigo London Kensington, United Kingdom ,3/13/2016,9.6
440744,Hyatt Regency Amsterdam, Italy ,6/17/2017,9.2
318752,H10 Art Gallery 4 Sup, United Kingdom ,6/27/2017,8.8
362933,Hilton London Wembley, United Kingdom ,5/10/2016,8.8
109627,London Marriott Hotel West India Quay, United Kingdom ,1/3/2016,2.5
178247,Best Western Aulivia Op ra, Bulgaria ,10/13/2015,7.5
422702,citizenM Amsterdam, United Kingdom ,9/22/2015,10.0
427435,NH Amsterdam Schiller, United Kingdom ,1/18/2016,9.6
462532,NH Amsterdam Centre, Turkey ,2/10/2016,10.0
93541,The Montcalm Marble Arch, United Kingdom ,5/27/2017,10.0
494222,Bianca Maria Palace Hotel, Ukraine ,3/25/2017,9.2
365285,Lancaster London, United Kingdom ,2/3/2016,8.8
492733,Nhow Milan, Italy ,6/11/2017,10.0
305899,NH Collection Amsterdam Grand Hotel Krasnapolsky, United States of America ,12/27/2016,5.0
409883,Hotel Michelangelo, Canada ,6/12/2016,10.0
149417,Park Grand London Kensington, United Kingdom ,9/26/2016,7.9
105127,Mercure Paris Terminus Nord, United States of America ,2/10/2017,7.9
12603,Select Hotel, United Kingdom ,8/19/2015,9.2
229525,Best Western Hotel Montmartre Sacr Coeur, Netherlands ,8/15/2016,3.8
346655,Holiday Inn Amsterdam Arena Towers, United Kingdom ,1/12/2016,8.3
501043,NH Danube City, Saudi Arabia ,3/8/2017,7.1
426056,Ilunion Barcelona, United Kingdom ,11/15/2015,9.2
4018,The Principal London, United Kingdom ,3/1/2016,8.3
80762,Radisson Blu Edwardian Sussex, Kuwait ,4/20/2017,6.7
487045,Antica Locanda Dei Mercanti, United States of America ,5/20/2017,7.1
57447,The Ritz London, United Kingdom ,11/11/2016,9.2
148446,Shangri La Hotel at The Shard London, Jersey ,2/2/2016,3.8
3100,The Park Grand London Paddington, India ,11/6/2016,7.9
438548,Radisson Blu Hotel Amsterdam, Indonesia ,7/23/2016,8.3
223083,DoubleTree by Hilton London Islington, United Kingdom ,5/23/2016,6.7
160073,Dukes Hotel, United States of America ,7/20/2017,8.8
489610,Hotel Da Vinci, Greece ,1/31/2017,8.8
379092,Leonardo Hotel Vienna, United States of America ,5/10/2016,5.4
130514,H10 London Waterloo, United Kingdom ,10/2/2016,9.2
297766,Ayre Hotel Caspe, Sweden ,7/6/2016,9.6
259570,Best Western Premier Op ra Li ge, Kuwait ,6/11/2016,9.2
233234,Gainsborough Hotel, New Zealand ,1/13/2017,7.1
312213,Best Western Premier Hotel Couture, United Kingdom ,12/27/2016,10.0
336236,Austria Trend Hotel Bosei Wien, Romania ,5/20/2016,7.1
353280,Grand Hotel Wien, Egypt ,8/16/2015,8.8
464623,Hotel Stefanie, Israel ,5/26/2016,10.0
508782,Thistle Trafalgar Square The Royal Trafalgar, Hong Kong ,1/15/2017,7.9
453656,Austria Trend Hotel Ananas Wien, Egypt ,7/30/2016,10.0
362455,Hilton London Wembley, United Kingdom ,12/5/2016,9.2
50809,Best Western Premier Louvre Saint Honor , United Kingdom ,11/20/2016,10.0
422134,citizenM Amsterdam, Norway ,8/28/2015,6.7
274585,Urban Lodge Hotel, Ireland ,2/11/2017,8.8
446456,Palais Hansen Kempinski Vienna, South Africa ,9/26/2015,8.8
332915,Hotel Casa Bonay, Jordan ,9/7/2016,9.6
242241,Les Jardins Du Marais, India ,8/9/2015,3.8
376634,Falkensteiner Hotel Wien Margareten, Taiwan ,8/2/2017,9.6
510830,Hotel Prinz Eugen, Spain ,6/6/2017,7.9
349053,Bilderberg Hotel Jan Luyken, United States of America ,1/18/2017,10.0
368070,Royal Ramblas, Bahrain ,12/17/2015,7.5
269914,Hampshire Hotel Rembrandt Square Amsterdam, United States of America ,5/10/2016,8.3
268540,Park Hyatt Vienna, United Arab Emirates ,10/29/2015,9.6
312200,Best Western Premier Hotel Couture, Italy ,1/6/2017,9.2
203453,Holiday Inn Paris Gare de l Est, Russia ,8/9/2015,5.0
457998,The Tower A Guoman Hotel, United Kingdom ,8/5/2016,7.5
415713,Catalonia Barcelona Plaza, Ireland ,1/17/2017,8.8
322805,DoubleTree By Hilton London Excel, United Kingdom ,1/23/2016,8.3
212685,The Sumner Hotel, Ukraine ,5/15/2016,8.3
360995,Eurostars Ramblas, United Kingdom ,1/24/2017,9.6
271145,Apollofirst Boutique Hotel, United States of America ,9/6/2016,9.2
229566,Best Western Hotel Montmartre Sacr Coeur, Italy ,10/18/2015,8.3
16961,Intercontinental London The O2, United Kingdom ,7/3/2016,10.0
69876,Millennium Hotel London Knightsbridge, Hong Kong ,8/7/2015,7.5
363640,Corus Hotel Hyde Park, United Kingdom ,9/28/2016,7.5
259006,Hotel Moonlight, United Kingdom ,6/29/2017,10.0
155357,Rafayel Hotel Spa, United Kingdom ,3/30/2017,3.3
195153,St George Hotel, United Kingdom ,7/12/2016,10.0
111182,Hotel Parc Saint Severin Esprit de France, United Kingdom ,8/4/2015,5.4
382077,Eurostars Grand Marina Hotel GL, United States of America ,7/24/2016,10.0
347993,Room Mate Aitana, South Korea ,1/11/2016,10.0
172823,Millennium Gloucester Hotel London, United Kingdom ,9/7/2015,10.0
422586,citizenM Amsterdam, Mexico ,1/27/2016,10.0
483020,Crowne Plaza Milan City, Italy ,8/30/2016,10.0
213137,W12 Rooms, United Kingdom ,9/26/2015,9.2
403522,The Rookery, United Kingdom ,1/25/2016,8.8
298326,Doubletree By Hilton London Greenwich, United Kingdom ,5/6/2016,7.1
315433,Melia Vienna, United Kingdom ,8/16/2015,10.0
22400,Les Plumes Hotel, Israel ,9/16/2016,9.6
174092,Millennium Gloucester Hotel London, United Kingdom ,11/11/2015,5.4
386485,INK Hotel Amsterdam MGallery by Sofitel, Australia ,6/19/2016,7.5
234053,Apex London Wall Hotel, United Kingdom ,6/14/2016,9.2
143461,Rathbone, United Kingdom ,5/7/2017,8.8
325713,Millennium Copthorne Hotels at Chelsea Football Club, Italy ,4/7/2016,7.9
441202,Copthorne Tara Hotel London Kensington, Spain ,4/19/2017,5.4
32430,Shepherd s Bush Boutique Hotel, United Kingdom ,4/5/2017,9.6
477706,Barcel Milan, Switzerland ,11/23/2015,7.9
83127,The Hoxton Holborn, Czech Republic ,4/30/2017,9.6
444731,Arthotel ANA Prime, Italy ,8/26/2016,7.5
8198,Novotel Suites Paris Nord 18 me, United Kingdom ,9/25/2015,7.5
37819,Millennium Hotel Paris Opera, France ,7/24/2016,9.6
82404,Best Western Premier Op ra Opal, United Kingdom ,8/30/2016,9.6
126539,DoubleTree by Hilton London Docklands Riverside, United Kingdom ,2/19/2016,5.8
364252,Corus Hotel Hyde Park, Oman ,8/18/2016,4.6
206191,The Westbourne Hyde Park, United Kingdom ,6/25/2017,8.8
488080,Senato Hotel Milano, Netherlands ,1/9/2017,5.0
435137,Ayre Hotel Rosell n, United Kingdom ,3/16/2016,10.0
204376,Sanderson A Morgans Hotel, United Kingdom ,1/26/2016,8.8
74341,Park Plaza London Riverbank, United States of America ,6/4/2017,7.9
66050,Britannia International Hotel Canary Wharf, Nigeria ,7/18/2017,5.8
452005,Hotel Esther a, United States of America ,9/1/2015,9.6
412150,Hotel SB Diagonal Zero Barcelona 4 Sup, United Kingdom ,4/12/2016,8.8
21117,The Nadler Victoria, Australia ,1/25/2016,10.0
60193,Clayton Crown Hotel London, Ireland ,4/12/2016,7.5
93193,The Montcalm Marble Arch, Australia ,3/23/2017,5.8
24224,Pullman London St Pancras, United Kingdom ,9/13/2015,10.0
17171,Intercontinental London The O2, United Kingdom ,4/21/2016,9.2
504481,Park Plaza Westminster Bridge London, United Kingdom ,2/8/2017,10.0
30617,The Kensington Hotel, Netherlands ,11/10/2015,9.6
91487,The Trafalgar Hilton, United Kingdom ,12/1/2015,5.4
306427,NH Collection Amsterdam Grand Hotel Krasnapolsky, United Kingdom ,2/20/2017,8.8
38518,Best Western Mornington Hotel Hyde Park, United Kingdom ,7/1/2017,6.7
484794,Best Western Atlantic Hotel, Japan ,2/9/2017,5.0
11425,Crowne Plaza London Kings Cross, United Kingdom ,4/25/2017,6.3
483890,Hotel Berna, Thailand ,5/9/2016,9.6
248927,Club Quarters Hotel Trafalgar Square, United Arab Emirates ,8/14/2016,6.3
18482,The Nadler Soho, United Kingdom ,3/19/2017,9.2
13266,H tel des Ducs D Anjou, United States of America ,7/4/2016,8.8
238262,DoubleTree by Hilton Hotel London Tower of London, United Kingdom ,9/19/2016,10.0
413294,W Barcelona, Qatar ,12/30/2015,5.8
319170,Hotel Granados 83, United Kingdom ,4/2/2016,10.0
357715,De Vere Devonport House, United Kingdom ,7/24/2017,8.3
47021,London Marriott Hotel Marble Arch, United Kingdom ,6/20/2017,10.0
320218,St Pancras Renaissance Hotel London, United Kingdom ,7/17/2017,10.0
209458,H tel Powers, Italy ,4/12/2016,6.7
143517,Rathbone, United Kingdom ,11/7/2016,7.5
481817,Armani Hotel Milano, Poland ,2/18/2016,10.0
444636,Courtyard by Marriott Vienna Schoenbrunn, India ,5/26/2016,5.0
416105,Barcel Sants, Austria ,7/26/2017,7.9
30010,Park Plaza Sherlock Holmes London, Australia ,12/24/2015,9.2
226955,Best Western Palm Hotel, United Kingdom ,7/1/2017,6.3
76579,Pullman Paris Tour Eiffel, United States of America ,7/15/2016,7.5
497646,NH Carlton Amsterdam, United Kingdom ,1/4/2017,5.0
225396,Novotel Paris Centre Tour Eiffel, United Kingdom ,9/1/2015,5.8
323925,Hotel Okura Amsterdam, United Kingdom ,2/23/2016,10.0
222096,Sofitel London St James, Oman ,9/19/2016,6.7
49945,The Bailey s Hotel London, United Kingdom ,3/20/2016,8.3
199406,Hilton London Tower Bridge, United Kingdom ,7/20/2017,10.0
484480,Hotel Berna, United Kingdom ,3/5/2016,9.2
206778,The Lodge Hotel Putney, United Kingdom ,7/18/2017,5.8
473656,Andreola Central Hotel, Finland ,4/29/2017,8.3
38279,Batty Langley s, United Kingdom ,10/8/2015,7.5
285042,Catalonia Plaza Catalunya, United Kingdom ,12/13/2016,8.8
302762,Worldhotel Cristoforo Colombo, Romania ,3/21/2016,5.8
35278,The Rembrandt, New Zealand ,12/27/2015,9.2
342574,Steigenberger Hotel Herrenhof, Cayman Islands ,9/25/2015,8.8
512085,Suite Hotel 900 m zur Oper, Russia ,5/14/2016,8.8
130640,H10 London Waterloo, United Kingdom ,11/4/2015,7.1
139166,Holiday Inn London Camden Lock, United Kingdom ,7/18/2017,7.9
412031,Hotel SB Diagonal Zero Barcelona 4 Sup, Switzerland ,9/17/2016,9.2
310868,Jaz Amsterdam, Austria ,4/24/2016,10.0
458378,The Tower A Guoman Hotel, United States of America ,6/28/2017,7.9
364474,Corus Hotel Hyde Park, Italy ,9/18/2015,9.6
381824,Eurostars Grand Marina Hotel GL, Australia ,6/25/2017,7.5
387339,Inntel Hotels Amsterdam Centre, Singapore ,12/7/2015,6.7
507180,Park Plaza Westminster Bridge London, Kuwait ,7/28/2016,10.0
87003,DoubleTree by Hilton London Ealing, Australia ,11/1/2015,10.0
371664,Hotel Kavalier, Germany ,12/28/2016,2.9
406448,Rosa Grand Milano Starhotels Collezione, Oman ,10/1/2016,5.4
388748,Apex City Of London Hotel, Ireland ,3/15/2016,9.2
84868,Royal Garden Hotel, United States of America ,9/22/2016,10.0
308645,Hotel Amsterdam De Roode Leeuw, Namibia ,3/30/2016,10.0
114215,Hilton London Metropole, Kuwait ,12/22/2015,5.4
327550,Hotel Well and Come, Saudi Arabia ,3/8/2017,7.5
381716,Eurostars Grand Marina Hotel GL, Portugal ,11/17/2015,9.6
506436,Park Plaza Westminster Bridge London, United Kingdom ,1/16/2017,9.2
113464,Hilton London Metropole, United Kingdom ,12/23/2016,10.0
305448,Tryp Barcelona Condal Mar Hotel, United Kingdom ,9/22/2015,7.9
379902,Golden Tulip Amsterdam West, United Kingdom ,2/16/2017,7.5
33452,Holiday Inn Paris Gare de Lyon Bastille, Thailand ,3/8/2016,4.6
143755,Duret, Canada ,7/13/2017,6.7
505606,Park Plaza Westminster Bridge London, United Kingdom ,11/26/2015,9.2
405174,Glam Milano, United Kingdom ,5/6/2016,9.6
260435,Thistle Hyde Park, United Kingdom ,3/14/2016,8.8
354384,Austria Trend Hotel Europa Wien, Singapore ,1/25/2016,9.2
232327,Mercure Vaugirard Paris Porte De Versailles, Brazil ,9/22/2015,10.0
73262,Malmaison London, United Kingdom ,5/11/2017,7.9
366602,Hotel Rathaus Wein Design, Canada ,10/24/2016,7.9
500864,Park Inn by Radisson Uno City Vienna, Sweden ,2/14/2016,8.3
55223,Hotel Lumen Paris Louvre, United Kingdom ,8/18/2015,8.8
23138,Pullman London St Pancras, Canada ,3/6/2017,10.0
236240,DoubleTree by Hilton Hotel London Tower of London, United Kingdom ,5/3/2017,7.9
497969,NH Carlton Amsterdam, United Kingdom ,9/24/2015,8.3
507002,Park Plaza Westminster Bridge London, New Zealand ,9/6/2016,8.3
144090,Comfort Inn Suites Kings Cross St Pancras, United Kingdom ,4/14/2016,8.3
61110,St Paul s Hotel, Australia ,2/14/2017,9.6
45633,Radisson Blu Edwardian Grafton, Australia ,7/12/2017,9.2
240613,Novotel London Excel, United Kingdom ,8/2/2016,4.2
197031,Holiday Inn London Whitechapel, United Kingdom ,2/25/2017,9.2
405031,Glam Milano, China ,8/31/2016,10.0
256924,88 Studios, United States of America ,6/17/2017,8.8
404957,Glam Milano, Ireland ,11/3/2016,7.5
267143,Corendon Vitality Hotel Amsterdam, Indonesia ,7/3/2017,9.2
322093,DoubleTree By Hilton London Excel, United States of America ,5/17/2017,9.6
147090,The Marble Arch London, Sri Lanka ,4/2/2016,6.7
429829,K West Hotel Spa, United Kingdom ,6/25/2016,7.5
423793,Catalonia Park Putxet, United Kingdom ,3/10/2017,5.4
324200,Hotel V Fizeaustraat, Germany ,8/29/2016,10.0
54290,The Pelham Starhotels Collezione, United Kingdom ,9/29/2015,9.2
305716,NH Collection Amsterdam Grand Hotel Krasnapolsky, South Africa ,7/6/2017,9.6
206140,Hotel du Collectionneur Arc de Triomphe, United Kingdom ,11/2/2015,7.1
477111,LaGare Hotel Milano Centrale MGallery by Sofitel, United Kingdom ,10/5/2016,10.0
158066,Georgian House Hotel, United Kingdom ,8/3/2017,5.8
47092,London Marriott Hotel Marble Arch, Australia ,7/25/2016,9.6
288244,Petit Palace Boqueria Garden, United States of America ,7/12/2017,9.5
478071,Sina De La Ville, United States of America ,7/14/2016,7.5
137408,Le Saint Hotel Paris, Australia ,5/15/2017,10.0
162607,Great St Helen Hotel, Russia ,10/10/2016,4.2
473727,Andreola Central Hotel, Malaysia ,10/18/2015,9.6
295550,Senator Barcelona Spa Hotel, United Kingdom ,10/23/2015,6.3
167336,Strand Palace Hotel, United Kingdom ,5/24/2016,9.2
363066,Hilton London Wembley, United Kingdom ,2/16/2016,10.0
359117,Der Wilhelmshof, Czech Republic ,8/16/2016,7.5
69211,Hilton London Euston, United Kingdom ,7/1/2017,7.9
85966,Hilton London Bankside, United Kingdom ,1/22/2017,9.2
377374,Boutiquehotel Das Tyrol, United States of America ,12/11/2015,9.6
5329,Park Plaza County Hall London, United States of America ,6/22/2017,10.0
109049,London Marriott Hotel West India Quay, United Kingdom ,4/5/2017,7.9
208519,The Montcalm At Brewery London City, United Kingdom ,10/24/2015,6.7
217832,New Linden Hotel, United Kingdom ,4/24/2016,10.0
165550,Strand Palace Hotel, United Kingdom ,2/5/2016,7.5
212531,The Sumner Hotel, Israel ,9/9/2016,4.6
163008,Westside Arc de Triomphe Hotel, United Kingdom ,8/26/2015,10.0
239523,Hotel West End, United Kingdom ,5/15/2016,7.9
476068,Idea Hotel Milano San Siro, United Kingdom ,2/17/2017,5.8
19361,Grange St Paul s Hotel, United Kingdom ,1/24/2016,8.8
484684,Best Western Atlantic Hotel, Australia ,10/10/2016,9.2
272291,Apollo Hotel Amsterdam, Ireland ,11/15/2015,10.0
237237,DoubleTree by Hilton Hotel London Tower of London, United Kingdom ,9/22/2015,7.5
203127,Holiday Inn Paris Gare de l Est, Egypt ,5/18/2016,8.3
472727,Hotel Pierre Milano, Oman ,7/31/2017,10.0
204779,Commodore Hotel, Israel ,7/16/2017,2.5
454823,Hilton London Canary Wharf, United Kingdom ,6/25/2017,9.6
465939,Amba Hotel Charing Cross, United Kingdom ,1/21/2017,9.2
289187,Hotel ViennArt am Museumsquartier, Egypt ,9/17/2016,10.0
309382,Swiss tel Amsterdam, Ireland ,1/12/2016,9.2
307588,Park Plaza Victoria Amsterdam, Australia ,8/9/2015,8.3
232949,Gainsborough Hotel, United Kingdom ,7/21/2016,5.4
130184,H10 London Waterloo, United Kingdom ,8/1/2017,8.8
229734,Kingsway Hall Hotel, United Kingdom ,8/15/2016,9.2
473825,Admiral Hotel, Hungary ,10/5/2015,6.3
416273,Barcel Sants, Hong Kong ,8/15/2016,8.8
514769,Holiday Inn London Kensington, United Kingdom ,6/21/2016,9.6
270177,Schlosshotel R mischer Kaiser, Canada ,7/21/2017,10.0
483167,Leonardo Hotel Milan City Center, Netherlands ,8/2/2016,9.2
95463,Grange Fitzrovia Hotel, United Kingdom ,5/15/2016,5.8
357269,De Vere Devonport House, United Kingdom ,4/18/2017,7.1
340619,The Hoxton Amsterdam, Netherlands ,9/15/2016,8.3
397013,H10 Port Vell 4 Sup, United Kingdom ,4/30/2017,7.5
103101,Saint James Albany Paris Hotel Spa, Israel ,4/26/2016,9.6
3311,The Park Grand London Paddington, Sweden ,6/30/2016,7.1
384943,Hotel Schild, Germany ,4/30/2017,9.6
470391,The Square Milano Duomo, United States of America ,5/29/2017,8.3
314791,Primero Primera, India ,6/13/2017,9.6
80345,Best Western The Boltons Hotel London Kensington, Ireland ,7/26/2016,7.9
334456,The Cumberland A Guoman Hotel, United Kingdom ,2/2/2016,9.6
258843,Radisson Blu Edwardian Bloomsbury Street, United Kingdom ,2/10/2016,9.6
75874,Park Plaza London Riverbank, United Kingdom ,9/27/2016,4.6
266029,Sir Albert Hotel, Ireland ,12/23/2016,9.6
387650,Inntel Hotels Amsterdam Centre, France ,10/31/2016,4.2
299795,The Chelsea Harbour Hotel, United Kingdom ,1/26/2016,9.2
316958,Holiday Inn London Wembley, United Kingdom ,12/22/2016,9.6
267937,Corendon Vitality Hotel Amsterdam, United Kingdom ,1/7/2016,5.8
142599,Blakemore Hyde Park, South Africa ,3/15/2016,7.9
90797,Novotel Paris Gare De Lyon, Pakistan ,10/29/2015,7.5
370115,Hampshire Hotel Amsterdam American, United Kingdom ,2/10/2016,9.6
226054,Clayton Hotel Chiswick, United Kingdom ,6/18/2016,8.8
171492,every hotel Piccadilly, United Kingdom ,10/24/2016,7.9
140604,DoubleTree by Hilton London Westminster, United Kingdom ,6/17/2016,7.9
85137,Royal Garden Hotel, United Kingdom ,10/5/2015,5.8
4009,The Principal London, United Kingdom ,3/6/2016,10.0
120507,Club Quarters Hotel St Paul s, Latvia ,6/21/2016,10.0
421192,Dikker en Thijs Fenice Hotel, South Africa ,6/27/2016,10.0
502059,Hotel Kaiserin Elisabeth, United States of America ,1/5/2017,6.3
191954,Grange Tower Bridge Hotel, United Kingdom ,7/20/2016,10.0
486623,Antares Hotel Rubens, Russia ,1/6/2016,10.0
63393,Hotel Xenia Autograph Collection, United Kingdom ,5/17/2016,10.0
143033,Blakemore Hyde Park, Malaysia ,8/18/2015,7.5
428683,Austria Trend Hotel Savoyen Vienna, Zimbabwe ,9/1/2016,8.8
127033,Park Grand Paddington Court, United Kingdom ,8/2/2017,5.0
264048,Radisson Blu Edwardian Kenilworth, United Kingdom ,2/27/2017,5.0
383618,Mercure Amsterdam Sloterdijk Station, Japan ,11/26/2015,9.6
209928,BEST WESTERN Maitrise Hotel Maida Vale, United Kingdom ,3/18/2017,4.6
406729,Rosa Grand Milano Starhotels Collezione, China ,12/18/2016,9.6
195377,Best Western Premier Op ra Faubourg Ex Hotel Jules , Canada ,9/19/2016,10.0
162245,Mercure Paris Porte De Versailles Expo, United States of America ,1/23/2017,10.0
243622,Park Grand London Hyde Park, Kenya ,8/17/2015,7.5
321306,St Pancras Renaissance Hotel London, United Kingdom ,9/14/2015,9.2
403657,The Rookery, United Kingdom ,11/9/2015,8.3
371372,Hampshire Hotel The Manor Amsterdam, Italy ,11/11/2015,6.7
160039,Timhotel Op ra Grands Magasins, Mexico ,8/5/2016,9.2
230142,Kingsway Hall Hotel, United Kingdom ,5/10/2016,7.1
145889,Radisson Blu Edwardian Hampshire, United Kingdom ,2/11/2017,10.0
510016,The Student Hotel Amsterdam City, Australia ,7/31/2017,7.1
483733,Hotel Berna, Ireland ,12/13/2016,10.0
120755,Club Quarters Hotel St Paul s, United Kingdom ,11/10/2015,8.3
434458,Bcn Urban Hotels Gran Rosellon, United Kingdom ,10/20/2016,8.3
69176,Hilton London Euston, Canada ,9/23/2015,5.8
425298,Barcel Raval, United Kingdom ,1/8/2016,7.5
